record_kind,completeness,allow_incomplete,issue_codes,run_id,manifest_sha256,selection_id,selection_sha256,verdict_sha256,cell_id,cell_identity_sha256,attempt_id,attempt_record_sha256,configuration_id,workload_id,repetition,value_us,sample_count,measurement_schema,producer_schema,measurement_artifact_sha256,repository_commit,repository_dirty,repository_patch_sha256,source_archive_sha256,environment_sha256,execution_identity_sha256,input_hashes,regeneration_command
campaign,COMPLETE,false,,core-20260713-r6,5b9f1e3e013e3ee0a8b9c00ede1d5c512f495a184ff6b8ea061312f8f40ea2bd,primary,07f5cc1d4df5bcc7d400bb7aa050bc0a83a60485b8870db5272571d0321a3230,479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77,,,,,,,,,,,,,0911bbab808a3999b09b0a51a74c38db3ebf82a0,false,,cd6dfc0fdec3604ee547e9316b1e0edbafefce26a6087c3f59e047e43ff7eccc,,,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=9eeaf8158be866f01a9925b0152abebfcfbc2ea59f830e56556eefdcddaf781b,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260713-r6 --selection-id primary --verdict-sha256 479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77 --output-directory experiments/rostam/results/publications/core-20260713-r6-primary --archive-descriptor experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260713-r6,5b9f1e3e013e3ee0a8b9c00ede1d5c512f495a184ff6b8ea061312f8f40ea2bd,primary,07f5cc1d4df5bcc7d400bb7aa050bc0a83a60485b8870db5272571d0321a3230,479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77,c-canary-param-nccl-2.19.3-defaul-r000000-56646eb946dd129d,56646eb946dd129d20fed30ff30ef8c3300a22d3deb787f5603e92b7ac8bcf69,a-000001,fd59800b916d90065b08d6aabd6f90b62c36df7293e106a0da5072eede72ac06,nccl-2.19.3-default,canary-param,0,241.710000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,e1869766e8084e61075fb5d7e608876d3b28339acae023daf70efd60b01db4e8,0911bbab808a3999b09b0a51a74c38db3ebf82a0,false,,cd6dfc0fdec3604ee547e9316b1e0edbafefce26a6087c3f59e047e43ff7eccc,7254061419a8dc6da22f708c27e8ff03eeb0cf965276c7f8027c757e8ff75be0,2a10cc4c857b23fc6173815442e1738f409dd4adc6cefe41fce8ec25c927d196,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=9eeaf8158be866f01a9925b0152abebfcfbc2ea59f830e56556eefdcddaf781b,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260713-r6 --selection-id primary --verdict-sha256 479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77 --output-directory experiments/rostam/results/publications/core-20260713-r6-primary --archive-descriptor experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260713-r6,5b9f1e3e013e3ee0a8b9c00ede1d5c512f495a184ff6b8ea061312f8f40ea2bd,primary,07f5cc1d4df5bcc7d400bb7aa050bc0a83a60485b8870db5272571d0321a3230,479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77,c-canary-param-nccl-2.19.3-defaul-r000001-75472874b4d7874f,75472874b4d7874f550dc15fb88ae3551859afcf247674a13fe496f9553bb016,a-000001,40ca59c418db5f11a86652bdce4e17088a0bfa741fcacbc3df43f6d36ae3904a,nccl-2.19.3-default,canary-param,1,241.950000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,fa4eff1b2c7fe80d4d35f103ae39ca861ce3bfb8678cb0e834421c045570cfa7,0911bbab808a3999b09b0a51a74c38db3ebf82a0,false,,cd6dfc0fdec3604ee547e9316b1e0edbafefce26a6087c3f59e047e43ff7eccc,97417d80c85a09448ee1e28cdd1a0b6c8e6f4985e163a2041ee32acc9342962f,f6a6ba4ec8f65f5f9e6ed09efbd53b25edd355475626d7b04caf134454a036df,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=9eeaf8158be866f01a9925b0152abebfcfbc2ea59f830e56556eefdcddaf781b,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260713-r6 --selection-id primary --verdict-sha256 479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77 --output-directory experiments/rostam/results/publications/core-20260713-r6-primary --archive-descriptor experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260713-r6,5b9f1e3e013e3ee0a8b9c00ede1d5c512f495a184ff6b8ea061312f8f40ea2bd,primary,07f5cc1d4df5bcc7d400bb7aa050bc0a83a60485b8870db5272571d0321a3230,479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77,c-canary-param-nccl-2.19.3-defaul-r000002-f12183b11813508b,f12183b11813508ba2f93954f61f244e7443c557c82d2e4e3404ea0ca57b5cb1,a-000001,82fc2b67af385c94459470d2a0e925f8c7d9beda707a9775689b3e403688fe4c,nccl-2.19.3-default,canary-param,2,243.370000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,5cd021ff8ddb75c992b1b8fc9755dec1032b4f73053c462e595a9bd9f79b2dfb,0911bbab808a3999b09b0a51a74c38db3ebf82a0,false,,cd6dfc0fdec3604ee547e9316b1e0edbafefce26a6087c3f59e047e43ff7eccc,daafed43b4c9c7d65772a415bf01bd167bb96b3af1d6fb8bac4ee0987b32eee3,c1292b990f4fab544d6155973ad56f8f0c7e35aacb4ffa3ab88ba63f263da899,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=9eeaf8158be866f01a9925b0152abebfcfbc2ea59f830e56556eefdcddaf781b,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260713-r6 --selection-id primary --verdict-sha256 479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77 --output-directory experiments/rostam/results/publications/core-20260713-r6-primary --archive-descriptor experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260713-r6,5b9f1e3e013e3ee0a8b9c00ede1d5c512f495a184ff6b8ea061312f8f40ea2bd,primary,07f5cc1d4df5bcc7d400bb7aa050bc0a83a60485b8870db5272571d0321a3230,479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77,c-canary-param-nccl-2.19.3-defaul-r000003-a45d537a6f824eec,a45d537a6f824eec04b76cb4a814c6d2657d3bd75d14ed58073a3d06f3bcc3bd,a-000001,577f61c6fe4be4d97728232b198b21c14ef740d25cc63d5a6c83e29b373ccc45,nccl-2.19.3-default,canary-param,3,242.865000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,11d46a94dc752c52d074a46d9a014f2659104374463c07c4ee01c6f560d28785,0911bbab808a3999b09b0a51a74c38db3ebf82a0,false,,cd6dfc0fdec3604ee547e9316b1e0edbafefce26a6087c3f59e047e43ff7eccc,f674bfddaff1f0328b771050c03c56bb6c15a128893604e1a4904ea20ee5392b,72e0f7807d4cfffef8959a78e068fe33d559b86c9f78eac52c8bfe946508a450,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=9eeaf8158be866f01a9925b0152abebfcfbc2ea59f830e56556eefdcddaf781b,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260713-r6 --selection-id primary --verdict-sha256 479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77 --output-directory experiments/rostam/results/publications/core-20260713-r6-primary --archive-descriptor experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260713-r6,5b9f1e3e013e3ee0a8b9c00ede1d5c512f495a184ff6b8ea061312f8f40ea2bd,primary,07f5cc1d4df5bcc7d400bb7aa050bc0a83a60485b8870db5272571d0321a3230,479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77,c-canary-param-nccl-2.19.3-defaul-r000004-da7cda2e0f46e809,da7cda2e0f46e8092cf79f34bbf3e08cfdc41eb643293f265c23c1622cf37a95,a-000001,15a6eeb8038c8e18e5d0add37d7427a8fb933586aa4bdfb7d8ed901b1398333e,nccl-2.19.3-default,canary-param,4,242.855000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,de78d04a28369b2f245aedf2b9095bd79e7867cff3900e336e8fb6807233f115,0911bbab808a3999b09b0a51a74c38db3ebf82a0,false,,cd6dfc0fdec3604ee547e9316b1e0edbafefce26a6087c3f59e047e43ff7eccc,df4556b89749734c50d219e2219cade77ade6aab904f8c542fa051bc3875917c,43553a121aa3a52e4d86a8432307202130a4321aab38f066025e20de0ac58c95,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=9eeaf8158be866f01a9925b0152abebfcfbc2ea59f830e56556eefdcddaf781b,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260713-r6 --selection-id primary --verdict-sha256 479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77 --output-directory experiments/rostam/results/publications/core-20260713-r6-primary --archive-descriptor experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260713-r6,5b9f1e3e013e3ee0a8b9c00ede1d5c512f495a184ff6b8ea061312f8f40ea2bd,primary,07f5cc1d4df5bcc7d400bb7aa050bc0a83a60485b8870db5272571d0321a3230,479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77,c-canary-param-nccl-2.20.5-defaul-r000000-fc00e5a89ad34b4e,fc00e5a89ad34b4e89d9797d170899faea36a9e1cca3b296ea5a82fa109329d8,a-000001,dc799d2c29e88fd38f271c8d449fca9cbd4f746557c08628a0841c215db3af52,nccl-2.20.5-default,canary-param,0,246.090000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,043065c87e1e26aaa1b7c383c59b014984ce235b9519537bca603dd9bdb87336,0911bbab808a3999b09b0a51a74c38db3ebf82a0,false,,cd6dfc0fdec3604ee547e9316b1e0edbafefce26a6087c3f59e047e43ff7eccc,4706a5aaee3bee293eb161d8d1c3bf3b7973dd1a151de9c32d123e97d3746ff0,a63bc7b2afc60d38149b53655ab436ccd95b9fbb07f83bc897c8caba38b14481,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=9eeaf8158be866f01a9925b0152abebfcfbc2ea59f830e56556eefdcddaf781b,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260713-r6 --selection-id primary --verdict-sha256 479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77 --output-directory experiments/rostam/results/publications/core-20260713-r6-primary --archive-descriptor experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260713-r6,5b9f1e3e013e3ee0a8b9c00ede1d5c512f495a184ff6b8ea061312f8f40ea2bd,primary,07f5cc1d4df5bcc7d400bb7aa050bc0a83a60485b8870db5272571d0321a3230,479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77,c-canary-param-nccl-2.20.5-defaul-r000001-6376a4ea1300c1d7,6376a4ea1300c1d765f0c946dcb0d2abcba3b77abe514f9764442b9a6c4bafe4,a-000001,251967fccf62061745b31eaa8cb649ed93be7b5cad9a08c0289b60d9712cd4b1,nccl-2.20.5-default,canary-param,1,243.935000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,8ab3879968702b32bb33a879fc6fefd8baedb7a8f094101034ca31fb3403e26f,0911bbab808a3999b09b0a51a74c38db3ebf82a0,false,,cd6dfc0fdec3604ee547e9316b1e0edbafefce26a6087c3f59e047e43ff7eccc,7e198344183bc494799a9cdb43b8ce2827dd01d8a53ba9795f6848559ca9e9b8,825d283a6f41acaebe13277daa86731b753b924e788f275aa9922ade69451309,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=9eeaf8158be866f01a9925b0152abebfcfbc2ea59f830e56556eefdcddaf781b,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260713-r6 --selection-id primary --verdict-sha256 479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77 --output-directory experiments/rostam/results/publications/core-20260713-r6-primary --archive-descriptor experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260713-r6,5b9f1e3e013e3ee0a8b9c00ede1d5c512f495a184ff6b8ea061312f8f40ea2bd,primary,07f5cc1d4df5bcc7d400bb7aa050bc0a83a60485b8870db5272571d0321a3230,479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77,c-canary-param-nccl-2.20.5-defaul-r000002-f63a5ea5d78cb4ba,f63a5ea5d78cb4ba3e6379f6151e17b4c6421031945b5a318166483183fb8b60,a-000001,fad3f41bd73d32be4019f5fa619b97e8ee42420199b5cca77eb788629df63a38,nccl-2.20.5-default,canary-param,2,244.930000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,71409763be42f2be3b88b918c267e0daa391a078cd2103f66699321999fd5099,0911bbab808a3999b09b0a51a74c38db3ebf82a0,false,,cd6dfc0fdec3604ee547e9316b1e0edbafefce26a6087c3f59e047e43ff7eccc,2ff6b4f8c8abddef0c8d046369fac59cac97fce79867903af2aa05fec9be52a3,dd8dfa9bbfa8415b6d72ca36562d38e451ff944b42fb2477ea9ececdc5a03f6e,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=9eeaf8158be866f01a9925b0152abebfcfbc2ea59f830e56556eefdcddaf781b,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260713-r6 --selection-id primary --verdict-sha256 479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77 --output-directory experiments/rostam/results/publications/core-20260713-r6-primary --archive-descriptor experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260713-r6,5b9f1e3e013e3ee0a8b9c00ede1d5c512f495a184ff6b8ea061312f8f40ea2bd,primary,07f5cc1d4df5bcc7d400bb7aa050bc0a83a60485b8870db5272571d0321a3230,479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77,c-canary-param-nccl-2.20.5-defaul-r000003-5a44b63282128ca8,5a44b63282128ca8a9cf6bd0e4013d12ec6336671eb216615b00c612999bfdf3,a-000001,89c65421750ea607efe10b6eecab8b49d4473a5c44e52c22df4184e6a777ece0,nccl-2.20.5-default,canary-param,3,241.320000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,6a169d28698859d8a0d8c4309f96cdf4dc9e54b765fbb26650ba273c7afc5878,0911bbab808a3999b09b0a51a74c38db3ebf82a0,false,,cd6dfc0fdec3604ee547e9316b1e0edbafefce26a6087c3f59e047e43ff7eccc,14ee02182333a2996a9667bfdef5c6165747b8ee67dc101aafc806ba819c3dd5,eff1b890b46454e77617932aaa4720021001e48a9534aa02bfc86240ba99f954,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=9eeaf8158be866f01a9925b0152abebfcfbc2ea59f830e56556eefdcddaf781b,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260713-r6 --selection-id primary --verdict-sha256 479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77 --output-directory experiments/rostam/results/publications/core-20260713-r6-primary --archive-descriptor experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260713-r6-primary-479323107464068dcd682f802686082715d7b9b050789a1a940f890cf2b2de77.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
